,City,Latitude,Longitude
0,"Nashville, TN",36.1626638,-86.7816016
1,"Los Angeles, CA",34.0522342,-118.2436849
2,Dublin,53.3498053,-6.2603097
3,"Las Cruces, NM",32.3199396,-106.7636538
4,"San Diego, CA",32.715738,-117.1610838
5,"Jacksonville, AL",33.8137125,-85.76135359999999
6,"Ruston, LA",32.5232053,-92.63792699999999
7,"Minneapolis, MN",44.977753,-93.2650108
8,"East Hartford, CT",41.7634219,-72.6128339
9,"Salt Lake City, UT",40.7607793,-111.8910474
10,"Tempe, AZ",33.4255104,-111.9400054
11,"Winston-Salem, NC",36.09985959999999,-80.244216
12,"Lawrence, KS",38.9716689,-95.2352501
13,"Orlando, FL",28.5383832,-81.3789269
14,"Birmingham, AL",33.5185892,-86.8103567
15,"Atlanta, GA",33.748752,-84.38768449999999
16,"Kalamazoo, MI",42.2917069,-85.5872286
17,"Honolulu, HI",21.3098845,-157.8581401
18,"Miami Gardens, FL",25.9420377,-80.2456045
19,"Ypsilanti, MI",42.2411499,-83.61299389999999
20,"Auburn, AL",32.6098566,-85.48078249999999
21,"Provo, UT",40.2338438,-111.6585337
22,"Miami, FL",25.7616798,-80.1917902
23,"Athens, GA",33.9519347,-83.357567
24,"College Park, MD",38.9896967,-76.93776
25,"Columbia, MO",38.9517053,-92.3340724
26,"Charlotte, NC",35.2270869,-80.8431267
27,"West Lafayette, IN",40.4258686,-86.90806549999999
28,"Piscataway, NJ",40.554887,-74.4642861
29,"Dallas, TX",32.7766642,-96.79698789999999
30,"El Paso, TX",31.7618778,-106.4850217
31,"Madison, WI",43.0721661,-89.4007501
32,"Bowling Green, KY",36.9685219,-86.4808043
33,"Tucson, AZ",32.2539787,-110.9741769
34,"Fort Collins, CO",40.5852602,-105.084423
35,"Denton, TX",33.2148412,-97.13306829999999
36,"Eugene, OR",44.0520691,-123.0867536
37,"Fort Worth, TX",32.7554883,-97.3307658
38,"Pasadena, CA",34.1477849,-118.1445155
39,"Seattle, WA",47.6062095,-122.3320708
40,"Notre Dame, IN",41.7001908,-86.23793280000001
41,"MA), Chestnut Hill, MA",42.3328668,-71.1727583
42,"Pittsburgh, PA",40.44062479999999,-79.9958864
43,"Syracuse, NY",43.0481221,-76.14742439999999
44,"Blacksburg, VA",37.2295733,-80.4139393
45,"Waco, TX",31.549333,-97.1466695
46,"Cincinnati, OH",39.1031182,-84.5120196
47,"Houston, TX",29.7604267,-95.3698028
48,"Ames, IA",42.0307812,-93.63191309999999
49,"Manhattan, KS",39.18360819999999,-96.57166939999999
50,"OK), Norman, OK",35.2225668,-97.4394777
51,"Stillwater, OK",36.1156071,-97.0583681
52,"Austin, TX",30.267153,-97.7430608
53,"Laramie, WY",41.3113669,-105.5911007
54,"Tulsa, OK",36.1539816,-95.99277500000001
55,"New Orleans, LA",29.95106579999999,-90.0715323
56,"Philadelphia, PA",39.9525839,-75.1652215
57,"Boca Raton, FL",26.3683064,-80.1289321
58,"Memphis, TN",35.1495343,-90.0489801
59,"Boone, NC",36.216795,-81.6745517
60,"Statesboro, GA",32.4487876,-81.7831674
61,"Harrisonburg, VA",38.4495688,-78.8689155
62,"Huntington, WV",38.4192496,-82.44515400000002
63,"Lafayette, LA",30.2240897,-92.0198427
64,"Hattiesburg, MS",31.3271189,-89.29033919999999
65,"Troy, AL",31.8087678,-85.969951
66,"Athens, OH",39.3292396,-82.1012554
67,"USAF Academy, CO",38.9983573,-104.8617533
68,"Las Vegas, NV",36.171563,-115.1391009
69,"Tuscaloosa, AL",33.2098407,-87.56917349999999
70,"Little Rock, AR",34.7444618,-92.2880157
71,"IL), Champaign, IL",40.1164204,-88.2433829
72,"IN), Bloomington, IN",39.165325,-86.52638569999999
73,"Iowa City, IA",41.6578257,-91.53461689999999
74,"Lexington, KY",38.0405837,-84.5037164
75,"Lynchburg, VA",37.4137536,-79.14224639999999
76,"Ann Arbor, MI",42.2808256,-83.7430378
77,"East Lansing, MI",42.7369792,-84.48386540000001
78,"Starkville, MS",33.4503998,-88.81838719999999
79,"Oxford, MS",34.3659868,-89.5188246
80,"University Park, PA",40.8147955,-77.86531260000001
81,"College Station, TX",30.627977,-96.3344068
82,"Monroe, LA",32.5093109,-92.1193012
83,"San Jose, CA",37.33874,-121.8852525
84,"Durham, NC",35.9940329,-78.898619
85,"Louisville, KY",38.2526647,-85.7584557
86,"Fayetteville, AR",36.0626579,-94.16058389999999
87,"West Point, NY",41.3914827,-73.95597210000001
88,"Boulder, CO",40.0149856,-105.2705456
89,"Gainesville, FL",29.6516344,-82.32482619999999
90,"Pullman, WA",46.7297771,-117.1817377
91,"Corvallis, OR",44.5645659,-123.2620435
92,"Lubbock, TX",33.5845617,-101.8456417
93,"Raleigh, NC",35.7795897,-78.6381787
94,"SC), Clemson, SC",34.6834382,-82.8373654
95,"Tallahassee, FL",30.4382559,-84.28073289999999
96,"Chapel Hill, NC",35.9131996,-79.0558445
97,"Charlottesville, VA",38.0293059,-78.47667810000002
98,"Boise, ID",43.6150186,-116.2023137
99,"Morgantown, WV",39.629526,-79.95589679999999
100,"Amherst, MA",42.3732216,-72.5198537
101,"San Antonio, TX",29.4251905,-98.4945922
102,"Greenville, NC",35.612661,-77.3663538
103,"Tampa, FL",27.950575,-82.4571776
104,"Jonesboro, AR",35.835696,-90.7051346
105,"Annapolis, MD",38.9784453,-76.4921829
106,"Norfolk, VA",36.8507689,-76.28587259999999
107,"Mobile, AL",30.6953657,-88.0398912
108,"Mount Pleasant, MI",43.59780749999999,-84.7675139
109,"DeKalb, IL",41.9295355,-88.74991279999999
110,"Toledo, OH",41.6528052,-83.5378674
111,"Akron, OH",41.0814447,-81.51900529999999
112,"Bowling Green, OH",41.3747744,-83.6513229
113,"Buffalo, NY",42.88644679999999,-78.8783689
114,"Fresno, CA",36.7377981,-119.7871247
115,"Reno, NV",39.529919,-119.8142691
116,"Albuquerque, NM",35.0843859,-106.650422
117,"Logan, UT",41.7369803,-111.8338359
118,"Berkeley, CA",37.8715226,-122.273042
119,"Conway, SC",33.8360034,-79.0478143
120,"Baton Rouge, LA",30.4514677,-91.18714659999999
121,"Evanston, IL",42.0450722,-87.68769689999999
122,"Columbus, OH",39.9611755,-82.99879419999999
123,"Columbia, SC",34.0007104,-81.0348144
124,"Knoxville, TN",35.9606384,-83.9207392
125,"Indianapolis, IN",39.768403,-86.158068
126,"Murfreesboro, TN",35.8456213,-86.39027
127,"Stanford, CA",37.42410599999999,-122.1660756
128,"San Marcos, TX",29.8832749,-97.9413941
129,"Muncie, IN",40.1933767,-85.3863599
130,"Kent, OH",41.1536674,-81.3578859
131,"NE), Lincoln, NE",40.813616,-96.7025955
132,"Saint Louis, MO",38.6270025,-90.19940419999999
133,"Oxford, OH",39.5069974,-84.74523099999999
134,"Arlington, TX",32.735687,-97.10806559999999
135,"Bloomington, IL",40.4842027,-88.99368729999999
136,"Huntsville, TX",30.7235263,-95.55077709999999
137,"Jacksonville, FL",30.3321838,-81.65565099999999
138,"Denver, CO",39.7392358,-104.990251
139,"Chicago, IL",41.8781136,-87.6297982
140,"Bronx, NY",40.8447819,-73.8648268
141,"Detroit, MI",42.331427,-83.0457538
142,"Foxboro, MA",42.0653812,-71.2478251
