AWAY TEAM,HOME TEAM,Unnamed: 5,Date
Los Angeles,Denver,,10/24
Phoenix,Golden State,,10/24
Atlanta,Charlotte,,10/25
Washington,Indiana,,10/25
Boston,New York,,10/25
Houston,Orlando,,10/25
Cleveland,Brooklyn,,10/25
Detroit,Miami,,10/25
Minnesota,Toronto,,10/25
Oklahoma City,Chicago,,10/25
New Orleans,Memphis,,10/25
Sacramento,Utah,,10/25
Dallas,San Antonio,,10/25
Portland,LA,,10/25
Philadelphia,Milwaukee,,10/26
Phoenix,Los Angeles,,10/26
Detroit,Charlotte,,10/27
Denver,Memphis,,10/27
New York,Atlanta,,10/27
Miami,Boston,,10/27
Oklahoma City,Cleveland,,10/27
Toronto,Chicago,,10/27
Houston,San Antonio,,10/27
Brooklyn,Dallas,,10/27
LA,Utah,,10/27
Orlando,Portland,,10/27
Golden State,Sacramento,,10/27
Chicago,Detroit,,10/28
Memphis,Washington,,10/28
New York,New Orleans,,10/28
Indiana,Cleveland,,10/28
Philadelphia,Toronto,,10/28
Miami,Minnesota,,10/28
Utah,Phoenix,,10/28
Denver,Oklahoma City,,10/29
Golden State,Houston,,10/29
Atlanta,Milwaukee,,10/29
Portland,Philadelphia,,10/29
San Antonio,LA,,10/29
Los Angeles,Sacramento,,10/29
Brooklyn,Charlotte,,10/30
Chicago,Indiana,,10/30
Boston,Washington,,10/30
Minnesota,Atlanta,,10/30
Portland,Toronto,,10/30
Dallas,Memphis,,10/30
Miami,Milwaukee,,10/30
Golden State,New Orleans,,10/30
Detroit,Oklahoma City,,10/30
Utah,Denver,,10/30
Orlando,Los Angeles,,10/30
New York,Cleveland,,10/31
San Antonio,Phoenix,,10/31
Orlando,LA,,10/31
Portland,Detroit,,11/1
Milwaukee,Toronto,,11/1
Washington,Atlanta,,11/1
Indiana,Boston,,11/1
Brooklyn,Miami,,11/1
Cleveland,New York,,11/1
New Orleans,Oklahoma City,,11/1
Charlotte,Houston,,11/1
Denver,Minnesota,,11/1
Chicago,Dallas,,11/1
Memphis,Utah,,11/1
Sacramento,Golden State,,11/1
LA,Los Angeles,,11/1
Toronto,Philadelphia,,11/2
Detroit,New Orleans,,11/2
Orlando,Utah,,11/2
San Antonio,Phoenix,,11/2
Cleveland,Indiana,,11/3
New York,Milwaukee,,11/3
Washington,Miami,,11/3
Brooklyn,Chicago,,11/3
Golden State,Oklahoma City,,11/3
Dallas,Denver,,11/3
Memphis,Portland,,11/3
Phoenix,Philadelphia,,11/4
Charlotte,Indiana,,11/4
Los Angeles,Orlando,,11/4
Atlanta,New Orleans,,11/4
Boston,Brooklyn,,11/4
Sacramento,Houston,,11/4
Utah,Minnesota,,11/4
Chicago,Denver,,11/4
Phoenix,Detroit,,11/5
Toronto,San Antonio,,11/5
Golden State,Cleveland,,11/5
Charlotte,Dallas,,11/5
Memphis,Portland,,11/5
Golden State,Detroit,,11/6
San Antonio,Indiana,,11/6
Dallas,Orlando,,11/6
Washington,Philadelphia,,11/6
Milwaukee,Brooklyn,,11/6
Los Angeles,Miami,,11/6
LA,New York,,11/6
Utah,Chicago,,11/6
Sacramento,Houston,,11/6
Boston,Minnesota,,11/6
Atlanta,Oklahoma City,,11/6
New Orleans,Denver,,11/6
Washington,Charlotte,,11/8
Utah,Indiana,,11/8
Boston,Philadelphia,,11/8
LA,Brooklyn,,11/8
San Antonio,New York,,11/8
Phoenix,Chicago,,11/8
Los Angeles,Houston,,11/8
Miami,Memphis,,11/8
Detroit,Milwaukee,,11/8
New Orleans,Minnesota,,11/8
Cleveland,Oklahoma City,,11/8
Toronto,Dallas,,11/8
Golden State,Denver,,11/8
Portland,Sacramento,,11/8
Milwaukee,Indiana,,11/9
Atlanta,Orlando,,11/9
Philadelphia,Detroit,,11/10
Charlotte,Washington,,11/10
Brooklyn,Boston,,11/10
New Orleans,Houston,,11/10
Utah,Memphis,,11/10
Minnesota,San Antonio,,11/10
LA,Dallas,,11/10
Los Angeles,Phoenix,,11/10
Oklahoma City,Sacramento,,11/10
Milwaukee,Orlando,,11/11
Toronto,Boston,,11/11
Miami,Atlanta,,11/11
Cleveland,Golden State,,11/11
Charlotte,New York,,11/12
Washington,Brooklyn,,11/12
Memphis,LA,,11/12
Indiana,Philadelphia,,11/12
Detroit,Chicago,,11/12
Denver,Houston,,11/12
Dallas,New Orleans,,11/12
Miami,San Antonio,,11/12
Oklahoma City,Phoenix,,11/12
Minnesota,Golden State,,11/12
Portland,Los Angeles,,11/12
New York,Boston,,11/13
Washington,Toronto,,11/13
Chicago,Milwaukee,,11/13
Cleveland,Sacramento,,11/13
Miami,Charlotte,,11/14
Atlanta,Detroit,,11/14
Indiana,Philadelphia,,11/14
Orlando,Brooklyn,,11/14
San Antonio,Oklahoma City,,11/14
Dallas,New Orleans,,11/14
Portland,Utah,,11/14
LA,Denver,,11/14
Minnesota,Golden State,,11/14
Memphis,Los Angeles,,11/14
Dallas,Washington,,11/15
New York,Atlanta,,11/15
Boston,Philadelphia,,11/15
Milwaukee,Toronto,,11/15
Orlando,Chicago,,11/15
Minnesota,Phoenix,,11/15
Sacramento,Los Angeles,,11/15
Cleveland,Portland,,11/15
Brooklyn,Miami,,11/16
Oklahoma City,Golden State,,11/16
Milwaukee,Charlotte,,11/17
New York,Washington,,11/17
Philadelphia,Atlanta,,11/17
Detroit,Cleveland,,11/17
Boston,Toronto,,11/17
Sacramento,San Antonio,,11/17
Orlando,Chicago,,11/17
