AWAY TEAM,HOME TEAM,Location / Weather,Date
Detroit Lions,Kansas City Chiefs,"GEHA Field at Arrowhead Stadium, Kansas City, MO",7-Sep
Arizona Cardinals,Washington Commanders,"FedExField, Landover, MD",10-Sep
Miami Dolphins,Los Angeles Chargers,"SoFi Stadium, Inglewood, CA",10-Sep
Carolina Panthers,Atlanta Falcons,"Mercedes-Benz Stadium, Atlanta, GA",10-Sep
Cincinnati Bengals,Cleveland Browns,"Cleveland Browns Stadium, Cleveland, OH",10-Sep
Dallas Cowboys,New York Giants,"MetLife Stadium, East Rutherford, NJ",10-Sep
Green Bay Packers,Chicago Bears,"Soldier Field, Chicago, IL",10-Sep
Houston Texans,Baltimore Ravens,"M&T Bank Stadium, Baltimore, MD",10-Sep
Jacksonville Jaguars,Indianapolis Colts,"Lucas Oil Stadium, Indianapolis, IN",10-Sep
Las Vegas Raiders,Denver Broncos,"Empower Field at Mile High, Denver, CO",10-Sep
Los Angeles Rams,Seattle Seahawks,"Lumen Field, Seattle, WA",10-Sep
Philadelphia Eagles,New England Patriots,"Gillette Stadium, Foxboro, MA",10-Sep
San Francisco 49ers,Pittsburgh Steelers,"Acrisure Stadium, Pittsburgh, PA",10-Sep
Tampa Bay Buccaneers,Minnesota Vikings,"U.S. Bank Stadium, Minneapolis, MN",10-Sep
Tennessee Titans,New Orleans Saints,"Caesars Superdome, New Orleans, LA",10-Sep
Buffalo Bills,New York Jets,"MetLife Stadium, East Rutherford, NJ",11-Sep
Minnesota Vikings,Philadelphia Eagles,"Lincoln Financial Field, Philadelphia, PA",14-Sep
Baltimore Ravens,Cincinnati Bengals,"Paycor Stadium, Cincinnati, OH",17-Sep
San Francisco 49ers,Los Angeles Rams,"SoFi Stadium, Inglewood, CA",17-Sep
Chicago Bears,Tampa Bay Buccaneers,"Raymond James Stadium, Tampa, FL",17-Sep
Green Bay Packers,Atlanta Falcons,"Mercedes-Benz Stadium, Atlanta, GA",17-Sep
Indianapolis Colts,Houston Texans,"NRG Stadium, Houston, TX",17-Sep
Kansas City Chiefs,Jacksonville Jaguars,"TIAA Bank Field, Jacksonville, FL",17-Sep
Las Vegas Raiders,Buffalo Bills,"Highmark Stadium, Orchard Park, NY",17-Sep
Los Angeles Chargers,Tennessee Titans,"Nissan Stadium, Nashville, TN",17-Sep
Miami Dolphins,New England Patriots,"Gillette Stadium, Foxboro, MA",17-Sep
New York Giants,Arizona Cardinals,"State Farm Stadium, Glendale, AZ",17-Sep
New York Jets,Dallas Cowboys,"AT&T Stadium, Arlington, TX",17-Sep
Seattle Seahawks,Detroit Lions,"Ford Field, Detroit, MI",17-Sep
Washington Commanders,Denver Broncos,"Empower Field at Mile High, Denver, CO",17-Sep
Cleveland Browns,Pittsburgh Steelers,"Acrisure Stadium, Pittsburgh, PA",18-Sep
New Orleans Saints,Carolina Panthers,"Bank of America Stadium, Charlotte, NC",18-Sep
New York Giants,San Francisco 49ers,"Levi's Stadium, Santa Clara, CA",21-Sep
Atlanta Falcons,Detroit Lions,"Ford Field, Detroit, MI",24-Sep
Buffalo Bills,Washington Commanders,"FedExField, Landover, MD",24-Sep
Carolina Panthers,Seattle Seahawks,"Lumen Field, Seattle, WA",24-Sep
Chicago Bears,Kansas City Chiefs,"GEHA Field at Arrowhead Stadium, Kansas City, MO",24-Sep
Dallas Cowboys,Arizona Cardinals,"State Farm Stadium, Glendale, AZ",24-Sep
Denver Broncos,Miami Dolphins,"Hard Rock Stadium, Miami Gardens, FL",24-Sep
Houston Texans,Jacksonville Jaguars,"TIAA Bank Field, Jacksonville, FL",24-Sep
Indianapolis Colts,Baltimore Ravens,"M&T Bank Stadium, Baltimore, MD",24-Sep
Los Angeles Chargers,Minnesota Vikings,"U.S. Bank Stadium, Minneapolis, MN",24-Sep
New England Patriots,New York Jets,"MetLife Stadium, East Rutherford, NJ",24-Sep
New Orleans Saints,Green Bay Packers,"Lambeau Field, Green Bay, WI",24-Sep
Pittsburgh Steelers,Las Vegas Raiders,"Allegiant Stadium, Las Vegas, NV",24-Sep
Tennessee Titans,Cleveland Browns,"Cleveland Browns Stadium, Cleveland, OH",24-Sep
Los Angeles Rams,Cincinnati Bengals,"Paycor Stadium, Cincinnati, OH",25-Sep
Philadelphia Eagles,Tampa Bay Buccaneers,"Raymond James Stadium, Tampa, FL",25-Sep
Detroit Lions,Green Bay Packers,"Lambeau Field, Green Bay, WI",28-Sep
Arizona Cardinals,San Francisco 49ers,"Levi's Stadium, Santa Clara, CA",1-Oct
Atlanta Falcons,Jacksonville Jaguars,"Wembley Stadium, London",1-Oct
Baltimore Ravens,Cleveland Browns,"Cleveland Browns Stadium, Cleveland, OH",1-Oct
Las Vegas Raiders,Los Angeles Chargers,"SoFi Stadium, Inglewood, CA",1-Oct
Cincinnati Bengals,Tennessee Titans,"Nissan Stadium, Nashville, TN",1-Oct
Denver Broncos,Chicago Bears,"Soldier Field, Chicago, IL",1-Oct
Kansas City Chiefs,New York Jets,"MetLife Stadium, East Rutherford, NJ",1-Oct
Los Angeles Rams,Indianapolis Colts,"Lucas Oil Stadium, Indianapolis, IN",1-Oct
Miami Dolphins,Buffalo Bills,"Highmark Stadium, Orchard Park, NY",1-Oct
Minnesota Vikings,Carolina Panthers,"Bank of America Stadium, Charlotte, NC",1-Oct
New England Patriots,Dallas Cowboys,"AT&T Stadium, Arlington, TX",1-Oct
Pittsburgh Steelers,Houston Texans,"NRG Stadium, Houston, TX",1-Oct
Tampa Bay Buccaneers,New Orleans Saints,"Caesars Superdome, New Orleans, LA",1-Oct
Washington Commanders,Philadelphia Eagles,"Lincoln Financial Field, Philadelphia, PA",1-Oct
Seattle Seahawks,New York Giants,"MetLife Stadium, East Rutherford, NJ",2-Oct
Chicago Bears,Washington Commanders,"FedExField, Landover, MD",5-Oct
Baltimore Ravens,Pittsburgh Steelers,"Acrisure Stadium, Pittsburgh, PA",8-Oct
Carolina Panthers,Detroit Lions,"Ford Field, Detroit, MI",8-Oct
Cincinnati Bengals,Arizona Cardinals,"State Farm Stadium, Glendale, AZ",8-Oct
Philadelphia Eagles,Los Angeles Rams,"SoFi Stadium, Inglewood, CA",8-Oct
